City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
81,Havelock,US,34.8791,-76.9013,84.18,94,98,1.01,overcast clouds,2022-08-01 04:12:20
82,Norman Wells,CA,65.282,-126.8329,65.86,57,48,5.12,scattered clouds,2022-08-01 04:12:20
83,Pemangkat,ID,1.1667,108.9667,85.57,67,84,3.58,broken clouds,2022-08-01 04:12:21
84,Beckley,US,37.7782,-81.1882,68.09,99,40,3.44,scattered clouds,2022-08-01 04:12:22
85,Esperance,AU,-33.8667,121.9,63.54,50,77,21.21,light rain,2022-08-01 04:12:23
86,Nikolskoye,RU,59.7035,30.7861,62.87,73,100,4.47,overcast clouds,2022-08-01 04:12:23
87,Riyadh,SA,24.6877,46.7219,87.94,66,100,11.39,overcast clouds,2022-08-01 04:12:24
88,Saint George,US,37.1041,-113.5841,86.63,50,0,13.8,clear sky,2022-08-01 04:12:04
89,Arraial Do Cabo,BR,-22.9661,-42.0278,68.29,74,0,10.71,clear sky,2022-08-01 04:12:25
90,Georgetown,MY,5.4112,100.3354,85.95,76,20,0.0,few clouds,2022-08-01 04:12:25
91,Arlit,NE,18.7369,7.3853,88.12,48,60,14.56,broken clouds,2022-08-01 04:12:26
92,Chokurdakh,RU,70.6333,147.9167,77.74,36,95,13.0,overcast clouds,2022-08-01 04:12:27
93,Margate,GB,51.3813,1.3862,63.3,88,100,3.0,overcast clouds,2022-08-01 04:11:54
94,Albany,US,42.6001,-73.9662,70.21,78,86,2.77,overcast clouds,2022-08-01 04:12:33
95,Dudinka,RU,69.4058,86.1778,52.63,53,12,20.18,few clouds,2022-08-01 04:12:33
96,Beringovskiy,RU,63.05,179.3167,50.22,62,98,3.04,overcast clouds,2022-08-01 04:12:34
97,Mahajanga,MG,-15.7167,46.3167,67.84,72,0,8.52,clear sky,2022-08-01 04:12:35
98,Sarrebourg,FR,48.7333,7.05,63.81,91,8,3.87,clear sky,2022-08-01 04:12:35
99,Northam,GB,51.0333,-4.2167,56.61,98,95,0.89,overcast clouds,2022-08-01 04:12:36
100,Villaviciosa,ES,43.4813,-5.4357,69.42,88,82,6.26,broken clouds,2022-08-01 04:12:36
101,Port Elizabeth,ZA,-33.918,25.5701,49.32,82,0,5.01,clear sky,2022-08-01 04:12:37
102,Lipin Bor,RU,60.2622,37.9763,57.07,77,16,5.1,few clouds,2022-08-01 04:12:38
103,Awbari,LY,26.5921,12.7805,78.57,25,1,9.22,clear sky,2022-08-01 04:12:38
104,Saint-Philippe,RE,-21.3585,55.7679,68.22,76,46,8.39,scattered clouds,2022-08-01 04:12:39
105,Usinsk,RU,65.9939,57.5281,65.34,50,49,5.86,scattered clouds,2022-08-01 04:12:39
106,Henties Bay,NA,-22.116,14.2845,54.03,68,97,6.91,overcast clouds,2022-08-01 04:12:40
107,San Patricio,US,28.017,-97.5169,84.29,67,31,12.62,scattered clouds,2022-08-01 04:12:41
108,Mwinilunga,ZM,-11.7358,24.4293,53.08,44,0,4.07,clear sky,2022-08-01 04:12:41
109,Baruun-Urt,MN,46.6806,113.2792,85.1,32,34,12.21,scattered clouds,2022-08-01 04:12:42
110,Lebu,CL,-37.6167,-73.65,45.93,84,100,5.59,overcast clouds,2022-08-01 04:12:42
111,Hilo,US,19.7297,-155.09,74.62,91,100,12.66,moderate rain,2022-08-01 04:12:43
112,Gravdal,NO,68.1214,13.5031,53.58,80,100,9.04,overcast clouds,2022-08-01 04:12:44
113,Sarkand,KZ,45.41,79.9186,80.33,31,35,7.74,scattered clouds,2022-08-01 04:12:44
114,Atuona,PF,-9.8,-139.0333,77.2,73,12,11.43,few clouds,2022-08-01 04:12:45
115,Ilulissat,GL,69.2167,-51.1,53.62,40,76,19.57,broken clouds,2022-08-01 04:12:45
116,Coihaique,CL,-45.5752,-72.0662,35.55,80,0,4.61,clear sky,2022-08-01 04:12:46
117,Borogontsy,RU,62.6683,131.1683,85.62,37,100,7.25,overcast clouds,2022-08-01 04:12:47
118,Port Hardy,CA,50.6996,-127.4199,62.78,88,75,8.05,fog,2022-08-01 04:12:47
119,Bilibino,RU,68.0546,166.4372,66.42,38,74,9.98,broken clouds,2022-08-01 04:12:48
120,Fort Nelson,CA,58.8053,-122.7002,63.05,82,100,2.26,light rain,2022-08-01 04:12:48
121,Kungurtug,RU,50.5994,97.5228,72.01,47,88,0.16,overcast clouds,2022-08-01 04:12:49
122,Bathsheba,BB,13.2167,-59.5167,83.01,90,40,19.57,scattered clouds,2022-08-01 04:12:49
